"V1","V2","V3","V4","V5","V6"
"C4","S5","H6","H7","D8",5
"CA","H10","SJ","SQ","DK",5
"H5","D5","C5","D9","SJ",6
"S6","S7","C8","S9","D10",5
"DA","H2","S3","H4","S5",5
"S5","S6","H6","D6","S10",6
"H3","S5","H5","D5","H10",6
"D4","D5","D7","D8","D10",4
"C3","C4","C7","CJ","CQ",4
"HA","S3","H9","D9","C9",6
"D3","H4","D4","C4","HQ",6
"H5","S6","D7","S8","C9",5
"HA","D2","D3","D4","D5",5
"D2","S6","D6","C6","D7",6
"H3","S6","D6","C6","DQ",6
"D2","S9","H9","C9","SQ",6
"HA","DA","CA","HJ","CQ",6
"SA","H7","S8","H8","C8",6
"S2","H2","D2","C3","D10",6
"C5","S6","H6","C6","SJ",6
"S6","H6","D6","H8","D8",3
"D2","C3","H4","C5","D6",5
"S8","H8","D8","C8","SK",2
"S2","H2","D2","D6","CK",6
"SA","DA","CA","D2","C6",6
"D2","D3","D4","D8","D9",4
"S5","H5","C5","C8","DQ",6
"S4","D7","S9","H9","D9",6
"S2","D2","C2","D4","C7",6
"DA","D3","D5","D6","DK",4
"S6","H6","D6","SQ","HQ",3
"H5","H6","S8","H8","D8",6
"H2","H8","D8","C8","DK",6
"S4","H4","C4","HQ","HK",6
"C2","S5","S7","H7","C7",6
"D4","H7","S8","H8","C8",6
"S7","H7","C7","C8","C10",6
"C9","D10","CJ","CQ","HK",5
"H3","H4","H9","HJ","HK",4
"CA","C6","C10","CJ","CK",4
"D4","S5","D5","C5","H7",6
"HA","H7","D7","C7","D8",6
"H4","S5","S6","H6","C6",6
"S7","H7","D7","D8","D9",6
"C6","C7","C8","CQ","CK",4
"D2","S9","H9","D9","C9",2
"S4","H4","D4","S8","DQ",6
"S7","D7","C7","C8","DQ",6
"H3","D3","C3","SJ","CJ",3
"H2","H3","H5","H9","HK",4
"C2","C3","D4","S5","D6",5
"DA","C10","SQ","DQ","CQ",6
"C5","H6","S10","D10","C10",6
"H3","D3","C3","S4","CJ",6
"SA","HA","DA","S10","HJ",6
"DA","C9","H10","D10","C10",6
"HA","H2","D3","D4","C5",5
"SA","DA","CA","D10","SJ",6
"S6","H6","C6","S9","C10",6
"DA","D4","S8","H8","D8",6
"SA","DA","CA","H4","DQ",6
"D6","S7","D7","C7","S10",6
"D4","D5","D6","D7","DQ",4
"C2","C8","C9","C10","CK",4
"H2","S6","H6","D6","HJ",6
"S7","D8","C9","H10","DJ",5
"C2","H8","D8","C8","SQ",6
"S4","H4","C4","SQ","CQ",3
"S3","D3","C3","H4","H9",6
"H6","D6","C6","D9","S10",6
"S2","D2","C2","S10","CQ",6
"S4","S5","H5","D5","S10",6
"C3","H6","HK","DK","CK",6
"HA","H4","H7","H8","H10",4
"H9","S10","HJ","SQ","DK",5
"S6","S7","D7","C7","D9",6
"C5","D6","C7","H8","S9",5
"C2","S8","D8","C8","HK",6
"HA","D2","D3","C4","C5",5
"S5","D5","C5","D6","S8",6
"DA","D5","D7","D10","DJ",4
"S6","H6","D6","H9","HQ",6
"S5","S9","S10","SJ","SQ",4
"H2","D3","SK","HK","CK",6
"S6","H6","D6","C6","D7",2
"CA","S5","H5","D5","C9",6
"SA","D5","SQ","HQ","CQ",6
"CA","S5","H5","C5","S7",6
"S5","H5","C5","SJ","CQ",6
"SA","S5","H5","D5","D9",6
"HA","S8","D8","C8","DK",6
"C6","H7","S10","H10","C10",6
"S3","S4","H4","C4","H8",6
"H3","H5","H6","HJ","HK",4
"SA","S4","H4","C4","C5",6
"S4","H4","C4","C5","DJ",6
"D5","S8","H8","D8","CJ",6
"D7","S8","S9","D9","C9",6
"CA","H3","S4","D4","C4",6
"C5","S8","H8","D8","HQ",6
"SA","HA","DA","S2","H9",6
"C4","S5","H5","D5","SJ",6
"D2","D5","D7","D9","DQ",4
"H8","C9","D10","SJ","DQ",5
"HA","D3","S7","H7","C7",6
"S7","S8","D9","H10","HJ",5
"H7","C8","S9","D10","SJ",5
"S2","C6","SQ","DQ","CQ",6
"H3","S4","H4","C4","DK",6
"S6","H8","D8","C8","HJ",6
"H2","D2","C2","D4","SJ",6
"C4","H6","D6","C6","SJ",6
"H4","D4","C4","S7","D7",3
"DA","H9","HJ","DJ","CJ",6
"HQ","DQ","SK","HK","DK",3
"DA","D6","D8","DJ","DQ",4
"D4","H6","D6","C6","D10",6
"S4","S7","H7","D7","CJ",6
"C2","H10","SQ","DQ","CQ",6
"S4","S7","S9","SQ","SK",4
"S3","S4","S5","H6","S7",5
"SA","C2","S3","D4","S5",5
"S2","H2","D2","D7","SQ",6
"S5","C7","S10","D10","C10",6
"SA","HA","CA","H8","C8",3
"D2","H3","S4","S5","S6",5
"S2","H2","C2","D4","H6",6
"S5","S8","SK","DK","CK",6
"S7","C9","SJ","HJ","DJ",6
"S9","H10","DJ","DQ","SK",5
"S2","H2","C2","H6","D6",3
"HA","S9","HJ","DJ","CJ",6
"H3","D3","C3","SK","DK",3
"C2","H9","SK","HK","CK",6
"DA","D9","S10","H10","D10",6
"H5","S7","D7","C7","SK",6
"D5","S9","H9","D9","SQ",6
"S4","SJ","HJ","DJ","SK",6
"S3","S9","D9","C9","CJ",6
"C5","S7","D7","C7","CJ",6
"D2","S4","D4","C4","SK",6
"C4","D10","HJ","DJ","CJ",6
"HA","H2","H8","H10","HK",4
"DA","S6","D6","C6","C9",6
"SA","DA","CA","C6","S9",6
"D2","S4","H4","D4","C8",6
"SA","DA","CA","C5","CJ",6
"S3","H3","D3","D6","H8",6
"CA","S2","D3","H4","C5",5
"D3","D4","S5","H6","C7",5
"S2","H2","D2","C5","H9",6
"H4","D5","S6","H7","D8",5
"S3","H3","D3","D4","SQ",6
"H9","D10","DJ","CQ","DK",5
"SA","S3","H3","C3","D5",6
"C3","S7","D7","C7","S9",6
"DA","D2","S3","C4","H5",5
"S8","D9","C10","CJ","SQ",5
"SA","S3","S5","S6","S9",4
"SA","DA","CA","C2","C6",6
"C2","H4","S6","D6","C6",6
"S4","H4","C4","C6","DQ",6
"SA","DA","CA","D7","DK",6
"HA","DA","CA","S7","H9",6
"H2","H3","H4","H7","H8",4
"SA","DA","CA","S6","C8",6
"H4","D4","C4","DK","CK",3
"S3","H5","D5","C5","H7",6
"H5","SJ","HJ","CJ","SK",6
"H5","D5","C5","C10","DJ",6
"SA","S2","S5","S6","S7",4
"D3","H4","SJ","HJ","CJ",6
"C3","C5","C6","C7","C10",4
"D3","D4","S9","H9","D9",6
"C3","S8","H8","D8","HJ",6
"SA","HA","CA","D10","HQ",6
"CA","H4","D4","C4","H8",6
"SA","DJ","SK","HK","DK",6
"C4","S6","H6","D6","D7",6
"C6","D7","H8","S9","C10",5
"SA","DA","CA","S6","HK",6
"D6","D7","D8","C9","H10",5
"S3","S5","S9","SJ","SQ",4
"C3","S4","H4","C4","S7",6
"D4","S9","D9","C9","H10",6
"HA","D2","S3","H3","C3",6
"C7","C8","H9","D10","CJ",5
"SA","S4","H4","D4","DQ",6
"D8","S9","D10","HJ","CQ",5
"S4","S5","S6","H6","D6",6
"S5","D5","C5","H7","H8",6
"H3","S10","D10","C10","HQ",6
"CA","C3","S10","D10","C10",6
"C2","H4","D4","C4","D10",6
"S2","H2","C2","SJ","HK",6
"C5","C6","C8","C9","C10",4
"S3","D6","H9","D9","C9",6
"S3","H3","C3","S8","H8",3
"D4","S5","C6","H7","C8",5
"C3","D4","H7","D7","C7",6
"C3","S6","H6","C6","D9",6
"H2","D2","C2","D4","SQ",6
"S2","D2","C2","S3","C6",6
"CJ","SQ","HQ","DQ","CQ",2
"CA","C10","HJ","SQ","CK",5
"H3","D3","C3","S9","H9",3
"DA","H2","S3","D3","C3",6
"S4","S6","H6","C6","HQ",6
"HA","D9","H10","D10","C10",6
"H2","D3","SK","DK","CK",6
"D7","C8","H9","H10","CJ",5
"H6","D6","C6","S7","D10",6
"C3","S6","H6","C6","D7",6
"D5","S7","H7","D7","DJ",6
"H6","D6","C6","S8","D9",6
"HA","H6","H7","H10","HK",4
"D8","S9","H10","DJ","DQ",5
"D3","D8","D9","DQ","DK",4
"H3","D5","S10","D10","C10",6
"C3","C4","D5","S6","D7",5
"D2","H9","D9","C9","DK",6
"SA","HA","DA","S4","H6",6
"H2","D7","SQ","HQ","DQ",6
"S4","H4","D4","SK","DK",3
"C5","S9","HK","DK","CK",6
"S3","H5","D5","C5","S10",6
"S2","D2","C2","H4","H7",6
"S6","S7","D7","C7","HJ",6
"SA","H4","D4","C4","H8",6
"H3","D6","H8","D8","C8",6
"SA","DA","CA","D3","C6",6
"H4","H5","D6","S7","S8",5
"HA","S6","H6","C6","S10",6
"D5","S7","H7","D7","H9",6
"SA","S10","DJ","DQ","CK",5
"H4","C5","H6","S7","S8",5
"SA","H10","D10","C10","CK",6
"C3","S8","H8","D8","SK",6
"SA","DA","CA","D4","H7",6
"D4","C9","SK","DK","CK",6
"H9","D10","SJ","HQ","DK",5
"H3","H4","H8","H10","HJ",4
"C5","C6","S9","H9","D9",6
"S8","H9","H10","SJ","CQ",5
"S3","H3","D3","H6","H7",6
"C4","H5","S6","H7","S8",5
"C5","D8","SQ","HQ","CQ",6
"SA","HA","DA","D4","C9",6
"S3","D3","C3","H6","S7",6
"S5","D5","S7","D7","C7",3
"SA","S2","SK","DK","CK",6
"DA","D9","SJ","HJ","CJ",6
"SA","H5","D5","C5","S9",6
"S4","D4","C4","C7","SK",6
"C4","SQ","HQ","CQ","CK",6
"D4","S8","D8","C8","DQ",6
"S9","H9","D9","S10","D10",3
"S5","S8","H8","C8","HJ",6
"S3","C3","S6","H6","D6",3
"S2","S6","H6","C6","SJ",6
"S3","C9","S10","H10","C10",6
"S4","HJ","DJ","CJ","HK",6
"C5","S9","H9","C9","H10",6
"S5","H5","D5","D7","SK",6
"C3","S5","SK","HK","DK",6
"H4","C4","H5","D5","C5",3
"H7","S8","S9","D10","HJ",5
"H4","D6","S9","H9","D9",6
"S2","H2","D2","DJ","HK",6
"S2","S5","D5","C5","CK",6
"D6","C6","HK","DK","CK",3
"H4","D4","C4","D5","HJ",6
"SA","DA","CA","H3","H4",6
"SA","CA","H2","D2","C2",3
"HA","H8","D8","C8","C9",6
"DA","H6","D6","C6","HJ",6
"SA","S2","S5","S10","SQ",4
"S5","S6","D7","C8","S9",5
"H6","S8","H8","C8","HK",6
"S2","H2","C2","S10","DK",6
"HA","C10","DJ","DQ","HK",5
"H2","D2","C2","D8","D9",6
"SA","HA","DA","H3","C7",6
"SA","HA","DA","H4","HJ",6
"H2","C2","H4","D4","C4",3
"D3","D6","D8","D10","DQ",4
"H3","D3","C3","H6","SJ",6
"HA","C4","S5","D5","C5",6
"C3","C4","C5","C8","CK",4
"H6","S9","H9","C9","SK",6
"D2","D5","D6","D7","DJ",4
"H7","D7","C7","S9","DK",6
"CA","S10","CJ","HQ","HK",5
"HA","S6","S9","H9","C9",6
"S2","H2","C2","C8","H10",6
"SA","HA","DA","H6","D7",6
"D3","H7","S8","D8","C8",6
"SA","HA","DA","D9","SK",6
"SA","D9","SQ","DQ","CQ",6
"S9","S10","CJ","CQ","CK",5
"H5","H8","H9","H10","HK",4
"H6","HJ","DJ","CJ","HQ",6
"S6","H7","S8","C9","D10",5
"D6","H7","H8","S9","D10",5
"HA","H4","H7","HQ","HK",4
"D6","C6","S7","H7","C7",3
"S4","D8","SJ","HJ","CJ",6
"D9","H10","DJ","DQ","HK",5
"C2","H8","D8","C8","DK",6
"H2","S5","H5","C5","C8",6
"C6","D7","S8","S9","C10",5
"S5","H5","D5","S10","HQ",6
"S6","H7","H8","D8","C8",6
"S4","C5","D6","C7","S8",5
"HA","H8","H9","HJ","HQ",4
"H5","S10","H10","D10","SQ",6
"H6","D6","C6","C8","S9",6
"D7","S8","H9","C10","DJ",5
"S5","SJ","DJ","CJ","SQ",6
"S2","S3","D3","C3","D8",6
"D3","D4","C5","D6","H7",5
"S5","S9","H9","C9","D10",6
"S6","D8","S9","H9","C9",6
"S2","S6","SJ","SQ","SK",4
"S7","C8","S9","C10","DJ",5
"H6","H8","D8","C8","C10",6
"D4","S5","H5","D5","H7",6
"H2","D8","S9","H9","C9",6
"C2","C6","S9","D9","C9",6
"D6","SQ","DQ","CQ","CK",6
"S6","H7","D7","C7","CJ",6
"CA","C5","C10","CJ","CQ",4
"H7","S10","H10","C10","HK",6
"C4","C5","H6","S7","S8",5
"D4","D9","H10","D10","C10",6
"CA","C4","S6","H6","C6",6
"D4","SK","HK","DK","CK",2
"CA","S4","H4","D4","S9",6
"D5","C9","SQ","HQ","CQ",6
"HA","S2","H2","D2","D10",6
"DA","H8","S9","H9","C9",6
"S5","H5","D5","D7","S10",6
"H4","D7","S8","H8","D8",6
"H4","S5","H5","D5","S6",6
"C4","H6","SK","HK","DK",6
"S3","S4","S7","H7","C7",6
"HA","D9","SJ","HJ","CJ",6
"S2","C2","S6","H6","C6",3
"SA","HA","DA","C4","S10",6
"S4","S7","H7","D7","HJ",6
"S7","C8","D9","C10","DJ",5
"H4","S6","H6","D6","H10",6
"S3","H3","D3","S8","C8",3
"HA","S5","D5","C5","S9",6
"C6","C8","C9","C10","CJ",4
"D3","S4","H4","C4","H5",6
"C3","H4","S8","H8","D8",6
"H4","C5","S6","H6","C6",6
"H2","D2","C2","S8","S9",6
"S4","H10","HJ","DJ","CJ",6
"SA","DA","CA","S3","HK",6
"D3","S6","H7","D7","C7",6
"HA","H2","H8","D8","C8",6
"H2","D2","C2","D4","C10",6
"H5","D5","HQ","DQ","CQ",3
"D6","CJ","SQ","HQ","CQ",6
"S2","H2","C2","H9","S10",6
"H6","D6","C6","H7","DQ",6
"D2","S8","H8","D8","HQ",6
"CA","H3","D3","C3","S5",6
"C4","H5","D6","D7","C8",5
"H3","S5","S8","D8","C8",6
"SA","S3","S5","S7","S10",4
"D4","C9","S10","H10","C10",6
"C4","C6","S7","D7","C7",6
"H3","C3","SJ","DJ","CJ",3
"H3","H5","H6","H7","HK",4
"D7","S8","H9","D10","DJ",5
"C5","S9","S10","H10","D10",6
"C6","H7","H8","D9","D10",5
"S8","D8","SQ","DQ","CQ",3
"SA","C10","CJ","CQ","HK",5
"H3","D4","SQ","DQ","CQ",6
"S2","D2","C2","S6","H8",6
"H2","S3","H10","D10","C10",6
"HA","DA","CA","D9","DJ",6
"S2","H2","C2","C4","D8",6
"H7","D8","C9","D10","CJ",5
"DA","C5","H7","D7","C7",6
"D4","C8","SJ","DJ","CJ",6
"S4","D4","C4","H9","HQ",6
"D2","C2","SQ","DQ","CQ",3
"C4","C9","CJ","CQ","CK",4
"C8","D9","S10","CJ","DQ",5
"C4","H6","D6","C6","DJ",6
"H2","D3","H4","D5","C6",5
"H5","D5","C5","H8","DJ",6
"S2","D2","C2","H9","S10",6
"H6","S7","C8","H9","H10",5
"HA","C2","S3","D4","H5",5
"CA","S10","SJ","DQ","CK",5
"H7","H8","D8","C8","HJ",6
"C3","S4","H4","D4","HK",6
"S6","D6","C6","C7","D9",6
"DA","S5","H5","D5","CK",6
"CA","S4","H4","C4","D7",6
"C3","S6","S8","H8","D8",6
"S7","H7","C7","SK","HK",3
"C2","H7","D7","C7","S9",6
"S2","D2","C2","DJ","SK",6
"D8","S9","D10","DJ","DQ",5
"D3","D6","D7","DQ","DK",4
"S6","H6","C6","S9","DK",6
"C2","C6","S7","D7","C7",6
"S6","D6","C6","HQ","HK",6
"CA","D3","S8","H8","D8",6
"HA","D9","SK","DK","CK",6
"SA","S5","D5","C5","S6",6
"SA","D3","S10","H10","C10",6
"SA","S3","H3","D3","C4",6
"D5","S8","H8","C8","HJ",6
"S5","D5","C5","C6","D7",6
"C8","C9","D10","SJ","DQ",5
"C5","C10","SQ","DQ","CQ",6
"S5","H5","C5","D10","HQ",6
"DJ","CJ","SK","HK","CK",3
"H6","H9","HJ","DJ","CJ",6
"C2","C5","CJ","CQ","CK",4
"D2","C10","HK","DK","CK",6
"SA","HA","DA","D6","S9",6
"C4","S10","H10","D10","DK",6
"H2","D2","C2","S3","DJ",6
"S2","D2","C2","S5","S9",6
"S3","D4","SJ","HJ","DJ",6
"S4","D4","C4","D5","DK",6
"H4","D4","C4","D7","SQ",6
"CA","S7","H7","C7","C8",6
"D2","D3","S6","H6","D6",6
"H2","C9","S10","H10","C10",6
"D2","S6","D6","C6","S7",6
"C5","S9","D9","C9","CQ",6
"CA","S5","SJ","HJ","DJ",6
"H2","D2","C2","S4","CK",6
"H3","D3","C3","H4","C9",6
"HA","D9","S10","H10","C10",6
"HA","DA","CA","H8","D10",6
"C3","S4","D4","C4","DQ",6
"DA","S9","H9","D9","DK",6
"DA","D2","C3","H4","S5",5
"HA","DA","CA","S4","H6",6
"SA","D2","H4","D4","C4",6
"C3","S5","S10","H10","C10",6
"HA","H2","D2","C2","C3",6
"D6","C10","SQ","DQ","CQ",6
"C8","C9","S10","SJ","DQ",5
"D7","S8","D9","D10","SJ",5
"DA","S2","SJ","HJ","CJ",6
"SA","HA","CA","C9","HQ",6
"D3","D4","C5","C6","D7",5
"S5","H6","D6","C6","CJ",6
"SA","DA","CA","D7","C7",3
"S4","S9","H9","C9","DQ",6
"D3","H6","D6","C6","H9",6
"S4","S8","H8","C8","SK",6
"S3","D10","SQ","HQ","DQ",6
"SA","H6","D6","C6","C10",6
"S4","D4","C4","HJ","DQ",6
"S3","H3","C3","H4","D8",6
"H6","S8","H8","C8","SJ",6
"CA","H10","CJ","CQ","SK",5
"S5","D5","C5","C8","DK",6
"DA","D5","H9","D9","C9",6
"HA","DA","CA","D6","CK",6
"H6","D6","C6","H7","D8",6
"S10","D10","C10","SJ","CJ",3
"H2","H4","H5","H8","H9",4
"DA","H6","S8","D8","C8",6
"H4","S5","H5","C5","S6",6
"H2","S8","SQ","HQ","CQ",6
"H6","H8","SQ","HQ","CQ",6
"D2","D4","D6","D9","DJ",4
"SA","S2","D3","S4","H5",5
"H4","S7","D7","C7","D9",6
"D2","S6","H6","D6","H8",6
"H5","D10","SJ","DJ","CJ",6
"S2","S3","C4","S5","H6",5
"C4","H6","H9","D9","C9",6
"CA","D2","S3","C4","D5",5
"DA","S6","H6","C6","CK",6
"S2","S10","H10","C10","HK",6
"SA","HA","DA","H4","S8",6
"H4","C5","H6","H7","C8",5
"C4","C5","C6","C7","C10",4
"S2","D2","C2","C6","S7",6
"HA","H2","H7","H9","H10",4
"H2","S4","D4","C4","H5",6
"C3","S6","H6","D6","S7",6
"SA","S2","D2","C2","C9",6
"HA","C2","H7","D7","C7",6
"S4","C5","S6","D6","C6",6
"SA","HA","DA","H10","HK",6
"S2","S3","H3","C3","H7",6
"C5","H8","D8","C8","C9",6
"H2","S7","S9","H9","D9",6
"S4","H4","C4","H5","C8",6
"C3","D4","D5","D6","S7",5
"D3","S6","H6","C6","H7",6
"S2","S3","D3","C3","D4",6
"S3","S5","H5","D5","S6",6
"SA","HA","DA","HJ","SK",6
"D2","S4","S5","D5","C5",6
"C2","S5","D5","C5","S10",6
"C5","H8","SK","HK","DK",6
"C5","H9","SK","DK","CK",6
"C3","H7","D7","C7","C9",6
"S4","H5","S9","D9","C9",6
"C4","D7","H9","D9","C9",6
"S3","H3","D3","C7","S8",6
"D5","S9","D9","C9","DJ",6
"D2","D9","S10","D10","C10",6
"H5","S8","H8","C8","C9",6
"S5","S6","H7","S8","S9",5
"SA","S10","HJ","DJ","CJ",6
"HA","H5","H8","H9","HK",4
"HA","S2","D2","C2","HJ",6
"S3","H3","C3","C4","HK",6
"H3","S6","H6","C6","S8",6
"D4","D5","S7","H7","D7",6
"SA","S5","S10","SJ","SQ",4
"D7","S8","H8","C8","HQ",6
"SA","DA","CA","H5","SQ",6
"H7","D8","S9","H10","HJ",5
"S7","D7","C7","H9","D10",6
"S6","S9","H9","C9","HQ",6
"S5","H5","D5","H6","SQ",6
"S2","S5","S7","S9","S10",4
"SJ","DJ","SQ","HQ","CQ",3
"C2","H5","D5","C5","HK",6
"H4","D4","C4","H10","CK",6
"H3","S10","H10","C10","CK",6
"S2","S8","H8","D8","HQ",6
"H2","H6","D6","C6","S7",6
"SA","HA","CA","H5","D8",6
"D9","SK","HK","DK","CK",2
"H2","S8","D8","C8","H9",6
"CA","H3","D3","C3","SQ",6
"C3","H9","D9","C9","SK",6
"DA","S2","D2","C2","S7",6
"S5","C5","SQ","HQ","CQ",3
"H3","S9","H9","C9","SQ",6
"D3","S7","D7","C7","C8",6
"CA","H2","D2","C2","H5",6
"HA","S5","H5","C5","D10",6
"S4","D4","C4","S7","CQ",6
"H4","H7","S10","D10","C10",6
"CA","S10","DJ","SQ","CK",5
"CA","S2","D2","C2","H9",6
"S2","D2","C2","H5","S9",6
"DA","C2","D3","S4","H5",5
"S2","S10","H10","D10","CQ",6
"D3","S7","SJ","HJ","DJ",6
"D2","D3","HK","DK","CK",6
"S6","D6","C6","S7","H7",3
"S3","D4","H5","D6","D7",5
"S6","H7","SJ","HJ","CJ",6
"H7","CQ","SK","HK","CK",6
"HA","H4","H5","HJ","HQ",4
"HA","S2","S6","H6","C6",6
"HA","H4","H5","H6","H7",4
"S4","H6","S8","D8","C8",6
"S2","H2","D2","C7","H10",6
"SA","HA","DA","C3","H5",6
"D3","H4","C5","S6","H7",5
"DA","D3","D4","D5","DQ",4
"S5","D6","D7","C8","D9",5
"H7","H10","SK","HK","CK",6
"HA","DJ","HK","DK","CK",6
"C7","C8","S9","H10","CJ",5
"SA","S2","S7","SJ","SK",4
"D5","S7","H7","C7","C10",6
"SA","S6","S7","D7","C7",6
"DA","S3","H3","C3","D8",6
"S3","H3","D3","C5","H7",6
"C6","D10","SK","DK","CK",6
"D4","D6","SJ","HJ","CJ",6
"D2","S8","D8","C8","C10",6
"D4","D8","SJ","DJ","CJ",6
"H2","S8","H8","D8","D9",6
"C5","S8","D8","C8","DJ",6
"S4","D5","S6","C7","C8",5
"S2","H8","SK","HK","DK",6
"C7","S8","C9","S10","SJ",5
"C3","H5","D5","C5","D7",6
"S2","D9","S10","H10","D10",6
"HA","S2","D2","C2","S8",6
"C5","S10","H10","C10","CJ",6
"D2","S3","H3","C3","C5",6
"HA","DA","CA","D9","HQ",6
"SA","H4","SQ","HQ","CQ",6
"D2","S5","H5","C5","S9",6
"S6","D6","C6","D7","C10",6
"H4","S8","H8","C8","CJ",6
"HA","S2","HJ","DJ","CJ",6
"S6","H6","C6","D7","H8",6
"HA","DA","CA","H7","S9",6
"D3","S4","H4","D4","C4",2
"H5","D5","C5","D9","HJ",6
"D4","C7","SK","HK","DK",6
"D4","S7","H7","C7","SK",6
"D4","C9","S10","D10","C10",6
"CA","H2","D2","C2","D5",6
"C2","S7","H7","D7","SQ",6
"D3","D9","D10","DJ","DK",4
"C6","D7","HJ","DJ","CJ",6
"H7","C8","S9","H10","SJ",5
"H5","S9","H9","C9","SJ",6
"S6","H6","D6","H7","HK",6
"HA","DA","CA","D6","D7",6
"D2","S3","D3","C3","SJ",6
"SA","D8","S9","H9","D9",6
"D2","S4","H4","C4","C9",6
"CA","S3","H3","C3","C10",6
"H7","H9","SJ","DJ","CJ",6
"H2","S9","H9","D9","D10",6
"H2","H3","HJ","HQ","HK",4
"H3","H4","D4","C4","C9",6
"C2","C4","C5","C9","CQ",4
"CA","S3","H3","C3","S4",6
"C4","S9","H9","D9","CJ",6
"H4","C5","SK","HK","DK",6
"C2","C3","C4","C9","CJ",4
"S3","S8","D8","C8","S9",6
"SA","DA","CA","C8","HJ",6
"DA","S2","S3","D3","C3",6
"S5","SQ","DQ","CQ","HK",6
"DA","D3","S5","H5","D5",6
"D4","H7","D7","C7","D8",6
"S5","H9","H10","D10","C10",6
"S5","C8","S9","D9","C9",6
"H3","H4","D5","S6","H7",5
"H4","D4","C4","H9","HK",6
"D4","S5","D5","C5","C6",6
"H5","S9","D9","C9","CK",6
"S2","H2","D2","S7","H7",3
"S2","H2","D2","S7","DJ",6
"HA","S3","SK","HK","DK",6
"C2","H9","HJ","DJ","CJ",6
"D2","H5","D5","C5","S9",6
"C5","H6","D6","C6","C9",6
"HA","DA","CA","D10","CK",6
"S4","H4","C4","C8","HK",6
"D5","S7","H7","C7","CQ",6
"C2","H8","S9","D9","C9",6
"C2","H3","D3","C3","HJ",6
"HA","DA","CA","D3","S8",6
"SA","HA","CA","C3","S9",6
"S7","C9","SK","DK","CK",6
"D6","SJ","HJ","DJ","DQ",6
"SA","S4","H4","D4","C6",6
"SA","HA","CA","S2","H2",3
"HA","H5","H9","H10","HK",4
"C3","S6","H6","C6","CK",6
